year,raceId,boatType,classId,place,value,temp,rain,water,n_paddler
2013,ADK90,Canoe,oc4open,1,2.7822222222222224,59.8,0.185,3.56,4
2017,ADK90,Kayak,k2,1,2.790277777777778,56.9,0,4,2
2022,ADK90,Kayak,k1unlimitedopen,1,2.813638888888889,70.5,0,3.32,1
2022,ADK90,Canoe,oc4,1,2.814916666666667,70.5,0,3.32,4
2019,ADK90,Kayak,k1unlimited,1,2.8219444444444446,59,0.02,3.67,1
2011,ADK90,Voyageur,voyageur,1,2.8497222222222223,61.2,0,4.36,6
2011,ADK90,Canoe,oc4open,1,2.8769444444444443,61.2,0,4.36,4
2012,ADK90,Canoe,oc4open,1,2.877222222222222,60.8,0.02,3.05,4
2021,ADK90,Kayak,k4,1,2.877222222222222,68.4,0.028,3.04,4
2014,ADK90,Canoe,oc4open,1,2.8872222222222224,65,0,2.97,4
2025,ADK90,Kayak,k2,1,2.9031111111111114,59.2,0,2.97,2
2012,ADK90,Canoe,oc4open,2,2.9044444444444446,60.8,0.02,3.05,4
2011,ADK90,Voyageur,voyageur,2,2.917777777777778,61.2,0,4.36,6
2017,ADK90,Canoe,oc4open,1,2.917777777777778,56.9,0,4,4
2009,ADK90,Voyageur,voyageur,1,2.937222222222222,63.8,0.028,3.28,6
2011,ADK90,Canoe,oc4open,2,2.937777777777778,61.2,0,4.36,4
2022,ADK90,Canoe,oc4,2,2.9443888888888887,70.5,0,3.32,4
2023,ADK90,Canoe,oc4mix,1,2.962388888888889,64.2,0.421,4.17,4
2014,ADK90,Canoe,oc4open,2,2.9691666666666667,65,0,2.97,4
2009,ADK90,Voyageur,voyageur,3,2.9719444444444445,63.8,0.028,3.28,6
2017,ADK90,Canoe,oc4open,2,2.9811111111111113,56.9,0,4,4
2021,ADK90,Canoe,oc4,1,2.9827777777777778,68.4,0.028,3.04,4
2008,ADK90,Voyageur,voyageur,1,2.9844444444444442,63.5,0.268,3.46,6
2009,ADK90,Voyageur,voyageur,2,2.986666666666667,63.8,0.028,3.28,6
2017,ADK90,Canoe,oc4,1,2.9880555555555555,56.9,0,4,4
2021,ADK90,Canoe,oc4,2,2.9894444444444446,68.4,0.028,3.04,4
2014,ADK90,Canoe,oc4open,3,2.9902777777777776,65,0,2.97,4
2023,ADK90,Kayak,k1unlimited,1,2.9905555555555554,64.2,0.421,4.17,1
2025,ADK90,Canoe,oc4open,1,2.99375,59.2,0,2.97,4
2012,ADK90,Voyageur,voyageur,1,2.9983333333333335,60.8,0.02,3.05,6
2013,ADK90,Canoe,oc4open,2,3,59.8,0.185,3.56,4
2023,ADK90,Kayak,k2,1,3.0078055555555556,64.2,0.421,4.17,2
2013,ADK90,Canoe,oc4open,3,3.0219444444444443,59.8,0.185,3.56,4
2023,ADK90,Canoe,oc4mix,2,3.0229166666666667,64.2,0.421,4.17,4
2008,ADK90,Voyageur,voyageur,2,3.025,63.5,0.268,3.46,6
2008,ADK90,Kayak,k1unlimited,1,3.0327777777777776,63.5,0.268,3.46,1
2009,ADK90,Canoe,open,NA,3.04,63.8,0.028,3.28,6
2025,ADK90,Canoe,oc4open,2,3.0408055555555555,59.2,0,2.97,4
2013,ADK90,Voyageur,voyageur,1,3.045,59.8,0.185,3.56,6
2015,ADK90,Canoe,oc4open,1,3.0575,64.2,1.535,3.45,4
2019,ADK90,Canoe,oc4open,1,3.06,59,0.02,3.67,4
2019,ADK90,Canoe,oc4open,2,3.060277777777778,59,0.02,3.67,4
2025,ADK90,Canoe,oc4openmix,1,3.0677222222222222,59.2,0,2.97,4
2017,ADK90,Voyageur,voyageur,2,3.0683333333333334,56.9,0,4,6
2015,ADK90,Canoe,oc4open,2,3.068611111111111,64.2,1.535,3.45,4
2011,ADK90,Voyageur,voyageur,3,3.0705555555555555,61.2,0,4.36,6
2013,ADK90,Canoe,oc4mix,2,3.0708333333333333,59.8,0.185,3.56,4
2023,ADK90,Canoe,oc4mix,3,3.071361111111111,64.2,0.421,4.17,4
2017,ADK90,Voyageur,voyageur,1,3.073611111111111,56.9,0,4,6
2022,ADK90,Canoe,oc4,3,3.0751944444444446,70.5,0,3.32,4
2013,ADK90,Canoe,oc4mix,1,3.075833333333333,59.8,0.185,3.56,4
2014,ADK90,Voyageur,voyageur,1,3.076388888888889,65,0,2.97,6
2015,ADK90,Canoe,oc4,1,3.076388888888889,64.2,1.535,3.45,4
2023,ADK90,Canoe,oc4,1,3.0765,64.2,0.421,4.17,4
2013,ADK90,Canoe,oc4mix,3,3.0766666666666667,59.8,0.185,3.56,4
2025,ADK90,Canoe,oc4open,3,3.0785833333333334,59.2,0,2.97,4
2013,ADK90,Canoe,oc4open,4,3.0816666666666666,59.8,0.185,3.56,4
2018,ADK90,Kayak,k1unlimited,1,3.0908333333333333,54.4,0,3.2,1
2013,ADK90,Canoe,oc4open,5,3.0966666666666667,59.8,0.185,3.56,4
2011,ADK90,Canoe,oc4,1,3.098611111111111,61.2,0,4.36,4
2012,ADK90,Voyageur,voyageur,2,3.105,60.8,0.02,3.05,6
