year,raceId,boatType,classId,place,value,temp,rain,water,n_paddler
2024,ADK90,Canoe,oc2openveteran,1,5.337888888888889,59.6,0.768,4.26,2
2011,ADK90,Canoe,open,NA,5.338611111111111,62.9,0,7.28,6
2017,ADK90,Canoe,open,NA,5.339166666666666,52.8,0.02,5.46,6
2015,ADK90,Canoe,oc2stock,2,5.34,63,0.185,2.75,2
2024,ADK90,Canoe,oc2stockmixveteran,3,5.340277777777778,59.6,0.768,4.26,2
2023,ADK90,Canoe,oc2stock,4,5.3407222222222215,65.2,0,5,2
2013,ADK90,Canoe,oc4women,2,5.342777777777778,57.4,0.047,4.6,4
2015,ADK90,Canoe,oc1recmaster,2,5.343333333333334,63,0.185,2.75,1
2015,ADK90,Canoe,oc1recmaster,1,5.3436111111111115,63,0.185,2.75,1
2025,ADK90,Canoe,oc3stockmix,1,5.343861111111112,60.5,0.134,3.08,3
2013,ADK90,Canoe,oc2stockwomenmaster,2,5.345277777777778,57.4,0.047,4.6,2
2019,ADK90,Canoe,oc2stockmix,2,5.345277777777778,59.3,0.008,4.97,2
2023,ADK90,Kayak,k1master,4,5.3460833333333335,65.2,0,5,1
2013,ADK90,Canoe,open,NA,5.346111111111111,57.4,0.047,4.6,6
2011,ADK90,Canoe,oc4,8,5.3469444444444445,62.9,0,7.28,4
2014,ADK90,Canoe,open,NA,5.347222222222222,68.9,0.067,4.01,6
