year,raceId,boatType,classId,place,value,temp,rain,water,n_paddler
2022,ADK90,Canoe,oc2stockmastertour,1,5.6186388888888885,67.5,0,3.91,2
2010,ADK90,Canoe,oc2ammaster,5,5.620555555555556,58.4,0,3.89,2
2008,ADK90,Voyageur,voyageur,8,5.621666666666667,70.2,0.323,4.58,6
2008,ADK90,Canoe,oc2stock,6,5.622222222222222,70.2,0.323,4.58,2
2009,ADK90,Canoe,open,NA,5.623055555555555,60,0.185,4.03,6
2024,ADK90,Canoe,oc4stockmix,14,5.623083333333333,59.6,0.768,4.26,4
2019,ADK90,Canoe,oc4stock,6,5.623888888888889,59.3,0.008,4.97,4
2015,ADK90,Kayak,k1tourveteran,2,5.6258333333333335,63,0.185,2.75,1
2017,ADK90,Canoe,open,NA,5.626111111111111,52.8,0.02,5.46,6
2016,ADK90,Canoe,open,NA,5.626666666666667,69.6,0.004,3.19,6
2014,ADK90,Canoe,open,NA,5.627222222222223,68.9,0.067,4.01,6
2014,ADK90,Canoe,oc4mix,12,5.6275,68.9,0.067,4.01,4
2021,ADK90,Canoe,oc4stockmixmaster,5,5.628611111111111,60,0,5.13,4
2011,ADK90,Canoe,open,NA,5.6305555555555555,62.9,0,7.28,6
2012,ADK90,Canoe,oc2stockveteran,5,5.631388888888889,69.1,0.516,4.29,2
2023,ADK90,Kayak,k2mix,1,5.631749999999999,65.2,0,5,2
2011,ADK90,Canoe,oc1rec,3,5.6322222222222225,62.9,0,7.28,1
2012,ADK90,Guideboat,g2,4,5.6322222222222225,69.1,0.516,4.29,2
2011,ADK90,Canoe,open,NA,5.632777777777778,62.9,0,7.28,6
2008,ADK90,Canoe,oc2stock,8,5.6338888888888885,70.2,0.323,4.58,2
2017,ADK90,Canoe,oc2stockwomen,1,5.636666666666667,52.8,0.02,5.46,2
2015,ADK90,Canoe,open,NA,5.6369444444444445,63,0.185,2.75,6
2023,ADK90,Canoe,oc4stock,9,5.637444444444444,65.2,0,5,4
2025,ADK90,Canoe,oc2stockmix,2,5.637944444444444,60.5,0.134,3.08,2
2009,ADK90,Canoe,oc2stockveteran,3,5.638333333333334,60,0.185,4.03,2
2013,ADK90,Guideboat,g2women,1,5.638333333333334,57.4,0.047,4.6,2
2022,ADK90,Canoe,oc2,1,5.639833333333334,67.5,0,3.91,2
2011,ADK90,Guideboat,g1,1,5.640833333333333,62.9,0,7.28,1
2016,ADK90,Canoe,oc2stockveteran,2,5.641388888888889,69.6,0.004,3.19,2
2015,ADK90,Canoe,oc1am,1,5.642777777777778,63,0.185,2.75,1
2019,ADK90,Canoe,oc2stock,5,5.6433333333333335,59.3,0.008,4.97,2
2015,ADK90,Canoe,open,NA,5.644166666666667,63,0.185,2.75,6
2016,ADK90,Kayak,k1tourmaster,4,5.644722222222223,69.6,0.004,3.19,1
2017,ADK90,Canoe,open,NA,5.645,52.8,0.02,5.46,6
2024,ADK90,Canoe,oc2stockmaster,3,5.6451666666666664,59.6,0.768,4.26,2
2017,ADK90,Canoe,open,NA,5.645277777777777,52.8,0.02,5.46,6
2025,ADK90,Canoe,oc2stockmixveteran,2,5.645472222222223,60.5,0.134,3.08,2
2010,ADK90,Canoe,oc1am,2,5.645833333333333,58.4,0,3.89,1
2023,ADK90,Kayak,k1,1,5.6459166666666665,65.2,0,5,1
2019,ADK90,Canoe,oc2stockmaster,5,5.6466666666666665,59.3,0.008,4.97,2
2010,ADK90,Canoe,oc2ammix,4,5.647222222222222,58.4,0,3.89,2
2008,ADK90,Canoe,open,NA,5.6475,70.2,0.323,4.58,6
2010,ADK90,Canoe,oc4mix,10,5.6475,58.4,0,3.89,4
2012,ADK90,Canoe,oc2stockmixmaster,5,5.648333333333333,69.1,0.516,4.29,2
2010,ADK90,Kayak,k2women,2,5.649166666666667,58.4,0,3.89,2
2010,ADK90,Canoe,oc2stockmix,1,5.650555555555556,58.4,0,3.89,2
2024,ADK90,Canoe,oc2stockwomen,1,5.6506944444444445,59.6,0.768,4.26,2
2024,ADK90,Canoe,oc2stock,6,5.6506944444444445,59.6,0.768,4.26,2
2025,ADK90,Canoe,oc4stock,5,5.651,60.5,0.134,3.08,4
2019,ADK90,Canoe,oc1stock,1,5.651388888888889,59.3,0.008,4.97,1
2013,ADK90,Kayak,k2women,1,5.651388888888889,57.4,0.047,4.6,2
2008,ADK90,Canoe,open,NA,5.652222222222222,70.2,0.323,4.58,6
2023,ADK90,Canoe,oc2stockmixmaster,7,5.652722222222222,65.2,0,5,2
2022,ADK90,Canoe,oc4stocktournc,2,5.653583333333334,67.5,0,3.91,4
2024,ADK90,Canoe,oc2stockmixveteran,5,5.653833333333333,59.6,0.768,4.26,2
2017,ADK90,Canoe,open,NA,5.653888888888889,52.8,0.02,5.46,6
2024,ADK90,Canoe,oc2stockmix,5,5.654555555555556,59.6,0.768,4.26,2
2025,ADK90,Kayak,k1sportmaster,3,5.6552500000000006,60.5,0.134,3.08,1
2010,ADK90,Canoe,oc2stockmixveteran,2,5.655555555555556,58.4,0,3.89,2
2018,ADK90,Canoe,oc2am,1,5.655833333333334,58.7,0,2.76,2
2010,ADK90,Canoe,open,NA,5.6561111111111115,58.4,0,3.89,6
2014,ADK90,Guideboat,g2mix,1,5.657222222222222,68.9,0.067,4.01,2
2012,ADK90,Canoe,oc2stockmix,1,5.658333333333333,69.1,0.516,4.29,2
2021,ADK90,Canoe,oc4stockmix,13,5.658888888888889,60,0,5.13,4
2024,ADK90,Canoe,oc2recnc,1,5.6601944444444445,59.6,0.768,4.26,2
2013,ADK90,Guideboat,g2women,2,5.660555555555556,57.4,0.047,4.6,2
2022,ADK90,Canoe,oc4stocktournc,3,5.662583333333333,67.5,0,3.91,4
2014,ADK90,Canoe,open,NA,5.663055555555555,68.9,0.067,4.01,6
2012,ADK90,Canoe,open,NA,5.663055555555555,69.1,0.516,4.29,6
2009,ADK90,Canoe,oc2stockmix,4,5.664444444444444,60,0.185,4.03,2
2013,ADK90,Kayak,k2mix,4,5.664722222222222,57.4,0.047,4.6,2
2017,ADK90,Canoe,open,NA,5.664722222222222,52.8,0.02,5.46,6
2012,ADK90,Canoe,open,NA,5.666388888888889,69.1,0.516,4.29,6
2022,ADK90,Canoe,oc2stockmaster,3,5.666944444444445,67.5,0,3.91,2
2008,ADK90,Kayak,k1tour,4,5.667777777777777,70.2,0.323,4.58,1
2024,ADK90,Canoe,oc2stock,9,5.668305555555556,59.6,0.768,4.26,2
2016,ADK90,Guideboat,g2,1,5.668333333333333,69.6,0.004,3.19,2
2008,ADK90,Canoe,oc2family,2,5.669444444444444,70.2,0.323,4.58,2
2009,ADK90,Canoe,oc2stockmix,5,5.669722222222222,60,0.185,4.03,2
2017,ADK90,Guideboat,g2,1,5.67,52.8,0.02,5.46,2
2016,ADK90,Canoe,oc2rec,1,5.67,69.6,0.004,3.19,2
2022,ADK90,Canoe,oc4stock,7,5.670944444444445,67.5,0,3.91,4
2012,ADK90,Canoe,open,NA,5.671111111111111,69.1,0.516,4.29,6
2012,ADK90,Canoe,open,NA,5.671388888888889,69.1,0.516,4.29,6
2010,ADK90,Canoe,oc2stock,6,5.671666666666667,58.4,0,3.89,2
2024,ADK90,Guideboat,g2,1,5.672277777777778,59.6,0.768,4.26,2
2016,ADK90,Canoe,oc4women,3,5.6725,69.6,0.004,3.19,4
2018,ADK90,Kayak,k1tour,4,5.672777777777778,58.7,0,2.76,1
2022,ADK90,Canoe,oc4stockwomen,3,5.673444444444445,67.5,0,3.91,4
2015,ADK90,Guideboat,g2,2,5.6738888888888885,63,0.185,2.75,2
2019,ADK90,Canoe,oc4stockwomen,3,5.674722222222222,59.3,0.008,4.97,4
2025,ADK90,Canoe,oc2stockmaster,2,5.675861111111111,60.5,0.134,3.08,2
2017,ADK90,Canoe,open,NA,5.676111111111111,52.8,0.02,5.46,6
2021,ADK90,Kayak,k1unlimitedveteran,1,5.676111111111111,60,0,5.13,1
2016,ADK90,Canoe,open,NA,5.676111111111111,69.6,0.004,3.19,6
2010,ADK90,Canoe,oc1rec,4,5.678333333333334,58.4,0,3.89,1
2022,ADK90,Canoe,oc1stockmaster,2,5.678416666666666,67.5,0,3.91,1
2023,ADK90,Canoe,oc2stock,9,5.678583333333334,65.2,0,5,2
2010,ADK90,Canoe,oc1rec,5,5.6786111111111115,58.4,0,3.89,1
2022,ADK90,Canoe,oc2stockopen,7,5.680222222222222,67.5,0,3.91,2
2013,ADK90,Canoe,open,NA,5.681666666666667,57.4,0.047,4.6,6
2015,ADK90,Canoe,open,NA,5.682222222222222,63,0.185,2.75,6
2008,ADK90,Canoe,open,NA,5.682222222222222,70.2,0.323,4.58,6
2015,ADK90,Kayak,k1tourmaster,4,5.6825,63,0.185,2.75,1
2011,ADK90,Canoe,open,NA,5.6825,62.9,0,7.28,6
2024,ADK90,Canoe,oc3stocktourmix,3,5.6828055555555554,59.6,0.768,4.26,3
2014,ADK90,Canoe,open,NA,5.683055555555556,68.9,0.067,4.01,6
2024,ADK90,Canoe,oc2stockmixveteran,6,5.683694444444444,59.6,0.768,4.26,2
2019,ADK90,Canoe,oc2stockmaster,4,5.683888888888889,59.3,0.008,4.97,2
2025,ADK90,Canoe,oc1stock,1,5.684,60.5,0.134,3.08,1
2023,ADK90,Canoe,oc2stockveteran,3,5.684055555555555,65.2,0,5,2
2021,ADK90,SUP,solorecmaster,2,5.685,60,0,5.13,1
2010,ADK90,Kayak,k1tour,5,5.686388888888889,58.4,0,3.89,1
2021,ADK90,Canoe,oc2stockmaster,7,5.686388888888889,60,0,5.13,2
2012,ADK90,Canoe,oc4,6,5.687777777777778,69.1,0.516,4.29,4
2017,ADK90,Canoe,open,NA,5.687777777777778,52.8,0.02,5.46,6
2023,ADK90,Canoe,oc2stockmixnc,1,5.6905277777777785,65.2,0,5,2
2023,ADK90,Canoe,oc3stockmix,1,5.690555555555555,65.2,0,5,3
2023,ADK90,Canoe,oc1stockmaster,2,5.691333333333333,65.2,0,5,1
2010,ADK90,Canoe,oc4mix,11,5.691388888888889,58.4,0,3.89,4
2021,ADK90,Guideboat,g2,1,5.691666666666666,60,0,5.13,2
2011,ADK90,Canoe,oc2family,1,5.693611111111111,62.9,0,7.28,2
2024,ADK90,Canoe,oc4stockwomenmaster,4,5.694500000000001,59.6,0.768,4.26,4
2024,ADK90,Canoe,oc4stockmaster,6,5.694861111111111,59.6,0.768,4.26,4
2015,ADK90,Canoe,oc2ammix,2,5.695277777777778,63,0.185,2.75,2
2024,ADK90,Canoe,oc2stockveteran,2,5.6955833333333326,59.6,0.768,4.26,2
2009,ADK90,Canoe,open,NA,5.696111111111111,60,0.185,4.03,6
2013,ADK90,Voyageur,voyageur,6,5.697222222222222,57.4,0.047,4.6,6
2024,ADK90,Canoe,oc1stockveteran,1,5.697694444444445,59.6,0.768,4.26,1
2013,ADK90,Canoe,oc1stock,1,5.699166666666667,57.4,0.047,4.6,1
2008,ADK90,Canoe,oc2stock,10,5.6994444444444445,70.2,0.323,4.58,2
2016,ADK90,Canoe,open,NA,5.699722222222222,69.6,0.004,3.19,6
2008,ADK90,Canoe,oc2rec,3,5.700555555555556,70.2,0.323,4.58,2
2014,ADK90,Canoe,oc2amwomen,1,5.700555555555556,68.9,0.067,4.01,2
2009,ADK90,Canoe,oc2stockmixmaster,9,5.700833333333334,60,0.185,4.03,2
2022,ADK90,Guideboat,g1,1,5.700888888888889,67.5,0,3.91,1
2009,ADK90,Guideboat,g2,1,5.701388888888889,60,0.185,4.03,2
2012,ADK90,Canoe,open,NA,5.701666666666667,69.1,0.516,4.29,6
2019,ADK90,Canoe,oc2jrsr,2,5.702222222222222,59.3,0.008,4.97,2
2016,ADK90,Kayak,k1unlimited,2,5.7025,69.6,0.004,3.19,1
2010,ADK90,Canoe,oc2stockmixmaster,6,5.703888888888889,58.4,0,3.89,2
2015,ADK90,Canoe,oc2stockveteran,1,5.704166666666667,63,0.185,2.75,2
2015,ADK90,Canoe,oc2stockveteran,2,5.704444444444444,63,0.185,2.75,2
2010,ADK90,Canoe,oc2stock,5,5.704722222222222,58.4,0,3.89,2
2019,ADK90,Canoe,oc4open,6,5.704722222222222,59.3,0.008,4.97,4
2011,ADK90,Canoe,open,NA,5.705277777777778,62.9,0,7.28,6
2010,ADK90,Canoe,oc4mix,12,5.705555555555556,58.4,0,3.89,4
2011,ADK90,Canoe,oc2recmix,1,5.7058333333333335,62.9,0,7.28,2
2012,ADK90,Canoe,oc4mix,15,5.7058333333333335,69.1,0.516,4.29,4
2017,ADK90,Canoe,open,NA,5.708055555555555,52.8,0.02,5.46,6
2023,ADK90,Kayak,k2mix,2,5.708111111111111,65.2,0,5,2
2009,ADK90,Kayak,k2mix,3,5.711111111111111,60,0.185,4.03,2
2019,ADK90,Canoe,oc4open,5,5.711388888888889,59.3,0.008,4.97,4
2010,ADK90,Canoe,oc2stockmix,2,5.7125,58.4,0,3.89,2
2017,ADK90,Canoe,oc2stockmix,2,5.712777777777778,52.8,0.02,5.46,2
2023,ADK90,Canoe,oc2stock,8,5.712777777777778,65.2,0,5,2
2008,ADK90,Canoe,oc2ammixmaster,7,5.713333333333333,70.2,0.323,4.58,2
2016,ADK90,Canoe,open,NA,5.713333333333333,69.6,0.004,3.19,6
2023,ADK90,Kayak,k1womennc,1,5.714888888888889,65.2,0,5,1
2023,ADK90,Canoe,oc3stockwomen,1,5.715361111111111,65.2,0,5,3
2021,ADK90,SUP,solorecwomenmaster,1,5.716666666666667,60,0,5.13,1
2016,ADK90,Canoe,open,NA,5.716944444444445,69.6,0.004,3.19,6
2014,ADK90,Canoe,open,NA,5.7175,68.9,0.067,4.01,6
2024,ADK90,Canoe,oc1stock,2,5.717805555555556,59.6,0.768,4.26,1
2017,ADK90,Canoe,oc2stockveteran,2,5.719722222222222,52.8,0.02,5.46,2
2009,ADK90,Canoe,oc2rec,2,5.720277777777778,60,0.185,4.03,2
2009,ADK90,Canoe,oc2recmix,1,5.720277777777778,60,0.185,4.03,2
2014,ADK90,Canoe,open,NA,5.720833333333333,68.9,0.067,4.01,6
2012,ADK90,Canoe,open,NA,5.720833333333333,69.1,0.516,4.29,6
2010,ADK90,Canoe,oc2stockmaster,8,5.721388888888889,58.4,0,3.89,2
2011,ADK90,Canoe,oc1am,2,5.721666666666667,62.9,0,7.28,1
2013,ADK90,Canoe,oc4women,3,5.7225,57.4,0.047,4.6,4
2017,ADK90,Guideboat,g2mix,1,5.723611111111111,52.8,0.02,5.46,2
2022,ADK90,Canoe,oc2stockopen,6,5.724055555555555,67.5,0,3.91,2
2012,ADK90,Canoe,oc2rec,1,5.724444444444444,69.1,0.516,4.29,2
2011,ADK90,Canoe,open,NA,5.725,62.9,0,7.28,6
2024,ADK90,Canoe,oc2stock,10,5.727055555555556,59.6,0.768,4.26,2
2010,ADK90,Canoe,oc4mix,14,5.727777777777778,58.4,0,3.89,4
2011,ADK90,Canoe,oc1stock,3,5.729166666666667,62.9,0,7.28,1
2016,ADK90,Canoe,open,NA,5.729444444444445,69.6,0.004,3.19,6
2024,ADK90,Kayak,k1sportveteran,2,5.7300555555555555,59.6,0.768,4.26,1
2012,ADK90,Canoe,oc2rec,3,5.731111111111111,69.1,0.516,4.29,2
2010,ADK90,Guideboat,g2,3,5.731111111111111,58.4,0,3.89,2
2015,ADK90,Canoe,oc2stockmaster,4,5.731388888888889,63,0.185,2.75,2
2009,ADK90,Canoe,open,NA,5.731388888888889,60,0.185,4.03,6
2025,ADK90,Canoe,oc4stockwomen,1,5.732472222222222,60.5,0.134,3.08,4
2013,ADK90,Canoe,oc2rec,2,5.733055555555556,57.4,0.047,4.6,2
2014,ADK90,Canoe,open,NA,5.735,68.9,0.067,4.01,6
2008,ADK90,Canoe,oc4mix,11,5.7363888888888885,70.2,0.323,4.58,4
2011,ADK90,Canoe,oc2rec,5,5.7375,62.9,0,7.28,2
2025,ADK90,Canoe,oc4stock,7,5.738499999999999,60.5,0.134,3.08,4
2025,ADK90,Canoe,oc2stockmix,3,5.7388055555555555,60.5,0.134,3.08,2
2009,ADK90,Canoe,oc1rec,3,5.739166666666667,60,0.185,4.03,1
2009,ADK90,Canoe,oc1rec,2,5.739722222222222,60,0.185,4.03,1
2022,ADK90,Canoe,oc2stockmastertour,4,5.7402500000000005,67.5,0,3.91,2
2012,ADK90,Canoe,oc2ammix,3,5.740833333333334,69.1,0.516,4.29,2
2025,ADK90,Canoe,oc2stocknc,1,5.740888888888889,60.5,0.134,3.08,2
2016,ADK90,Canoe,oc2stockwomen,1,5.7411111111111115,69.6,0.004,3.19,2
2023,ADK90,Guideboat,g1,1,5.7412222222222224,65.2,0,5,1
2016,ADK90,Canoe,open,NA,5.7444444444444445,69.6,0.004,3.19,6
2025,ADK90,Canoe,oc2stockmixveteran,3,5.744916666666667,60.5,0.134,3.08,2
2010,ADK90,Canoe,open,NA,5.745,58.4,0,3.89,6
2018,ADK90,Canoe,open,NA,5.745555555555556,58.7,0,2.76,6
2025,ADK90,Kayak,k1open,2,5.745694444444444,60.5,0.134,3.08,1
2008,ADK90,Kayak,k1tour,5,5.746388888888889,70.2,0.323,4.58,1
2013,ADK90,Canoe,oc2stockmixmaster,3,5.746666666666667,57.4,0.047,4.6,2
2023,ADK90,Canoe,oc2stockmaster,5,5.747416666666667,65.2,0,5,2
2011,ADK90,Canoe,oc2rec,4,5.7475,62.9,0,7.28,2
2022,ADK90,Canoe,oc2,2,5.748361111111111,67.5,0,3.91,2
2017,ADK90,Canoe,open,NA,5.748611111111111,52.8,0.02,5.46,6
2018,ADK90,Canoe,oc4stockmix,4,5.748888888888889,58.7,0,2.76,4
2019,ADK90,Canoe,oc2stockmix,4,5.7491666666666665,59.3,0.008,4.97,2
2025,ADK90,Canoe,oc4stockmix,6,5.749638888888889,60.5,0.134,3.08,4
2022,ADK90,Canoe,oc2,NA,5.74975,67.5,0,3.91,2
2024,ADK90,Canoe,oc4open,5,5.750333333333334,59.6,0.768,4.26,4
2018,ADK90,Canoe,open,NA,5.750555555555556,58.7,0,2.76,6
2008,ADK90,Canoe,oc2stock,11,5.751388888888889,70.2,0.323,4.58,2
2024,ADK90,Canoe,oc1stockmaster,2,5.751722222222223,59.6,0.768,4.26,1
2023,ADK90,Kayak,k1veteran,2,5.752305555555555,65.2,0,5,1
2017,ADK90,Kayak,k1tour,3,5.753333333333333,52.8,0.02,5.46,1
2024,ADK90,Canoe,oc4stockncmix,1,5.754138888888889,59.6,0.768,4.26,4
2017,ADK90,Canoe,open,NA,5.754166666666666,52.8,0.02,5.46,6
2014,ADK90,Voyageur,voyageur,6,5.754722222222222,68.9,0.067,4.01,6
2014,ADK90,Voyageur,voyageur,7,5.754722222222222,68.9,0.067,4.01,6
2008,ADK90,Canoe,oc2stockmixmaster,4,5.755,70.2,0.323,4.58,2
2014,ADK90,Canoe,open,NA,5.755277777777778,68.9,0.067,4.01,6
2022,ADK90,Canoe,oc4stockmix,11,5.7556111111111115,67.5,0,3.91,4
