year,raceId,boatType,classId,place,value,temp,rain,water,n_paddler
2013,ADK90,Canoe,oc4open,1,4.478888888888889,51.6,0,1706.88,4
2012,ADK90,Canoe,oc4open,1,4.6802777777777775,67.4,0,1706.75,4
2014,ADK90,Canoe,oc4open,1,4.7427777777777775,69.5,0,1706.89,4
2022,ADK90,Canoe,oc4,1,4.766472222222222,63.4,0,1706.93,4
2013,ADK90,Canoe,oc4open,2,4.829722222222222,51.6,0,1706.88,4
2025,ADK90,Kayak,k2,1,4.8365277777777775,58.7,0.37,1706.89,2
2017,ADK90,Canoe,oc4open,1,4.8375,51.1,0.484,1706.89,4
2023,ADK90,Canoe,oc4mix,1,4.840416666666667,66.9,0.15,1706.8,4
2011,ADK90,Voyageur,voyageur,1,4.8575,63.9,0,1706.86,6
2023,ADK90,Kayak,k2,1,4.877638888888889,66.9,0.15,1706.8,2
2022,ADK90,Kayak,k1unlimitedopen,1,4.880444444444444,63.4,0,1706.93,1
2021,ADK90,Canoe,oc4,1,4.883333333333334,55.4,0.055,1706.94,4
2017,ADK90,Kayak,k2,1,4.889722222222222,51.1,0.484,1706.89,2
2021,ADK90,Canoe,oc4,2,4.896388888888889,55.4,0.055,1706.94,4
2012,ADK90,Canoe,oc4open,2,4.905277777777778,67.4,0,1706.75,4
2024,ADK90,Kayak,k2,1,4.909527777777778,61.6,0,1706.82,2
2024,ADK90,Canoe,oc4open,1,4.9238333333333335,61.6,0,1706.82,4
2025,ADK90,Canoe,oc4open,2,4.934972222222223,58.7,0.37,1706.89,4
2023,ADK90,Canoe,oc4mix,2,4.935972222222222,66.9,0.15,1706.8,4
2015,ADK90,Canoe,oc4open,1,4.939166666666667,63.9,0,1706.82,4
2022,ADK90,Canoe,oc4,2,4.940111111111111,63.4,0,1706.93,4
2025,ADK90,Canoe,oc4open,1,4.9424166666666665,58.7,0.37,1706.89,4
2017,ADK90,Canoe,oc4,1,4.944166666666667,51.1,0.484,1706.89,4
2013,ADK90,Canoe,oc4mix,1,4.949166666666667,51.6,0,1706.88,4
2019,ADK90,Canoe,oc4open,1,4.986666666666666,58,0,1706.77,4
2009,ADK90,Voyageur,voyageur,1,4.990555555555556,57.2,0.016,1706.65,6
2024,ADK90,Canoe,oc4openmix,1,4.992888888888889,61.6,0,1706.82,4
2016,ADK90,Canoe,oc4open,1,4.995833333333334,70.2,0.02,1706.83,4
2018,ADK90,Canoe,oc4open,1,5.016944444444444,61.9,0,1706.8,4
2012,ADK90,Voyageur,voyageur,1,5.025555555555556,67.4,0,1706.75,6
2018,ADK90,Kayak,k1unlimited,1,5.028888888888889,61.9,0,1706.8,1
2016,ADK90,Canoe,oc4mix,1,5.030277777777778,70.2,0.02,1706.83,4
2017,ADK90,Canoe,oc4open,2,5.030833333333334,51.1,0.484,1706.89,4
2013,ADK90,Voyageur,voyageur,1,5.035,51.6,0,1706.88,6
2019,ADK90,Canoe,oc4open,2,5.035,58,0,1706.77,4
2013,ADK90,Canoe,oc4open,3,5.045,51.6,0,1706.88,4
2016,ADK90,Canoe,oc4open,2,5.045555555555556,70.2,0.02,1706.83,4
2013,ADK90,Canoe,oc4mix,2,5.053055555555556,51.6,0,1706.88,4
2014,ADK90,Canoe,oc4open,3,5.054722222222222,69.5,0,1706.89,4
2008,ADK90,Voyageur,voyageur,2,5.0569444444444445,72.3,0,1706.81,6
2025,ADK90,Canoe,oc4open,3,5.059,58.7,0.37,1706.89,4
2024,ADK90,Canoe,oc4open,2,5.076583333333334,61.6,0,1706.82,4
2018,ADK90,Canoe,oc4open,2,5.083333333333333,61.9,0,1706.8,4
2025,ADK90,Canoe,oc4openmix,1,5.090777777777777,58.7,0.37,1706.89,4
2013,ADK90,Canoe,oc4open,4,5.091666666666667,51.6,0,1706.88,4
2013,ADK90,Canoe,oc4open,5,5.093055555555556,51.6,0,1706.88,4
2014,ADK90,Canoe,oc4women,1,5.094166666666666,69.5,0,1706.89,4
2024,ADK90,Canoe,oc4open,3,5.097527777777778,61.6,0,1706.82,4
2013,ADK90,Canoe,oc4mix,3,5.109444444444445,51.6,0,1706.88,4
2025,ADK90,Canoe,oc4openmix,3,5.117388888888889,58.7,0.37,1706.89,4
2008,ADK90,Kayak,k1unlimited,1,5.120555555555556,72.3,0,1706.81,1
2023,ADK90,Canoe,oc4,1,5.12425,66.9,0.15,1706.8,4
2013,ADK90,Canoe,oc4mix,4,5.125277777777778,51.6,0,1706.88,4
2015,ADK90,Canoe,oc4open,3,5.125555555555556,63.9,0,1706.82,4
2023,ADK90,Canoe,oc4mix,4,5.126027777777778,66.9,0.15,1706.8,4
2014,ADK90,Canoe,oc4open,2,5.128888888888889,69.5,0,1706.89,4
2011,ADK90,Canoe,oc4open,2,5.133611111111111,63.9,0,1706.86,4
2010,ADK90,Voyageur,voyageur,1,5.138055555555556,52.8,0.043,1706.87,6
2008,ADK90,Voyageur,voyageur,1,5.1433333333333335,72.3,0,1706.81,6
2011,ADK90,Canoe,oc4open,1,5.146944444444444,63.9,0,1706.86,4
2014,ADK90,Canoe,oc4,2,5.146944444444444,69.5,0,1706.89,4
2019,ADK90,Kayak,k1unlimited,1,5.153611111111111,58,0,1706.77,1
2016,ADK90,Kayak,k2,1,5.158333333333333,70.2,0.02,1706.83,2
2025,ADK90,Canoe,oc4open,4,5.1595,58.7,0.37,1706.89,4
2012,ADK90,Canoe,oc4,1,5.160555555555556,67.4,0,1706.75,4
2014,ADK90,Canoe,oc4,1,5.161666666666667,69.5,0,1706.89,4
2015,ADK90,Canoe,oc4open,2,5.1627777777777775,63.9,0,1706.82,4
2014,ADK90,Voyageur,voyageur,1,5.171944444444445,69.5,0,1706.89,6
2011,ADK90,Voyageur,voyageur,2,5.177222222222222,63.9,0,1706.86,6
2009,ADK90,Voyageur,voyageur,2,5.177777777777778,57.2,0.016,1706.65,6
2013,ADK90,Canoe,oc4mix,5,5.181388888888889,51.6,0,1706.88,4
2015,ADK90,Canoe,oc4,1,5.182222222222222,63.9,0,1706.82,4
2012,ADK90,Voyageur,voyageur,2,5.183888888888889,67.4,0,1706.75,6
2023,ADK90,Kayak,k1unlimited,1,5.185138888888889,66.9,0.15,1706.8,1
2025,ADK90,Canoe,oc4openmix,2,5.194083333333333,58.7,0.37,1706.89,4
2023,ADK90,Canoe,oc4mix,3,5.203250000000001,66.9,0.15,1706.8,4
2018,ADK90,Canoe,oc4open,3,5.206388888888889,61.9,0,1706.8,4
2015,ADK90,Voyageur,voyageur,1,5.2091666666666665,63.9,0,1706.82,6
2016,ADK90,Voyageur,voyageur,1,5.220833333333333,70.2,0.02,1706.83,6
2021,ADK90,Kayak,k4,1,5.225833333333333,55.4,0.055,1706.94,4
2016,ADK90,Canoe,oc4open,3,5.226388888888889,70.2,0.02,1706.83,4
2017,ADK90,Canoe,oc4open,3,5.24,51.1,0.484,1706.89,4
2022,ADK90,Canoe,oc4,3,5.2475,63.4,0,1706.93,4
2010,ADK90,Canoe,oc4mix,1,5.253333333333333,52.8,0.043,1706.87,4
2012,ADK90,Canoe,oc4mix,1,5.256388888888889,67.4,0,1706.75,4
2016,ADK90,Canoe,oc4mix,2,5.264166666666667,70.2,0.02,1706.83,4
2012,ADK90,Canoe,oc4open,3,5.264444444444444,67.4,0,1706.75,4
2015,ADK90,Canoe,oc4mix,1,5.274444444444445,63.9,0,1706.82,4
2008,ADK90,Canoe,oc2am,1,5.284722222222222,72.3,0,1706.81,2
2018,ADK90,Canoe,oc4stock,1,5.285555555555556,61.9,0,1706.8,4
2021,ADK90,Canoe,oc4,3,5.298055555555556,55.4,0.055,1706.94,4
2013,ADK90,Canoe,oc4open,6,5.298611111111111,51.6,0,1706.88,4
2024,ADK90,Kayak,k1openmaster,1,5.299972222222222,61.6,0,1706.82,1
2012,ADK90,Canoe,oc4open,5,5.303333333333334,67.4,0,1706.75,4
2022,ADK90,Canoe,oc4,4,5.304305555555556,63.4,0,1706.93,4
2014,ADK90,Voyageur,voyageur,2,5.309166666666667,69.5,0,1706.89,6
2012,ADK90,Canoe,oc4mix,4,5.321944444444444,67.4,0,1706.75,4
2013,ADK90,Canoe,oc4,4,5.322777777777778,51.6,0,1706.88,4
2024,ADK90,Canoe,oc4open,4,5.3229999999999995,61.6,0,1706.82,4
2008,ADK90,Canoe,oc2am,2,5.3341666666666665,72.3,0,1706.81,2
2021,ADK90,Canoe,oc4stockmixmaster,1,5.3405555555555555,55.4,0.055,1706.94,4
2018,ADK90,Canoe,oc4stockmix,1,5.341944444444445,61.9,0,1706.8,4
2012,ADK90,Kayak,k2,2,5.356388888888889,67.4,0,1706.75,2
2013,ADK90,Kayak,k1unlimited,1,5.3575,51.6,0,1706.88,1
2013,ADK90,Canoe,oc4mix,6,5.358333333333333,51.6,0,1706.88,4
2025,ADK90,Canoe,oc2openexhibmix,1,5.373694444444444,58.7,0.37,1706.89,2
2011,ADK90,Canoe,oc4,1,5.375277777777778,63.9,0,1706.86,4
2012,ADK90,Canoe,oc4open,4,5.375555555555556,67.4,0,1706.75,4
2008,ADK90,Canoe,oc2ammaster,1,5.376666666666667,72.3,0,1706.81,2
2012,ADK90,Canoe,oc4mix,3,5.376944444444445,67.4,0,1706.75,4
